PlayerID,Player,Team,TeamAbbreviation,Position,AverageSpeed,HighSpeedRuns,Sprints,TotalDistance,DistanceRank,MinutesPlayed,TotalDistanceKm,DistancePer90
411375,Rodri,Spain,ESP,MF,7.05,1294,318,96233.71,1,819,96.23371,10.575132967032967
430628,Alexis Mac Allister,Argentina,ARG,MF,6.23,1024,277,90561.77,2,869,90.56177000000001,9.379239700805524
430735,Marc Cucurella,Spain,ESP,DF,6.18,907,363,87986.05,3,857,87.98605,9.240075262543758
474973,Pau Cubarsi,Spain,ESP,DF,6.03,816,263,85956.03,4,857,85.95603,9.02688763127188
448252,Enzo Fernandez,Argentina,ARG,MF,5.74,1054,332,82828.98,6,755,82.82898,9.873653245033113
335999,Aymeric Laporte,Spain,ESP,DF,5.8,695,204,79572.1,7,824,79.5721,8.691127427184465
481610,Elliot Anderson,England,ENG,MF,6.6,1006,282,78697.97,8,713,78.69797,9.93382510518934
402021,Remo Freuler,Switzerland,SUI,MF,6.79,1001,213,73750.57,10,654,73.75057000000001,10.149161009174314
389876,Dayot Upamecano,France,FRA,DF,5.95,598,228,73611.38,11,740,73.61138000000001,8.952735405405406
448202,Jude Bellingham,England,ENG,MF,6.37,947,403,73254.75,12,698,73.25475,9.445454871060173
311558,Granit Xhaka,Switzerland,SUI,MF,6.51,1062,210,72775.82,13,673,72.77582000000001,9.732279049034178
402047,Adrien Rabiot,France,FRA,MF,5.67,816,248,71263.06,15,657,71.26306,9.76206301369863
405841,Marc Guehi,England,ENG,DF,5.82,660,203,70981.57,16,761,70.98157,8.394666622864653
485740,Neil El Aynaoui,Morocco,MAR,MF,6.69,836,276,70474.7,17,634,70.4747,10.004294952681388
430707,Jules Kounde,France,FRA,DF,6.46,834,323,69981.25,18,666,69.98125,9.456925675675675
403049,Ezri Konsa,England,ENG,DF,5.65,666,195,69849.14,19,739,69.84914,8.506661163734778
448360,Brandon Mechele,Belgium,BEL,DF,6.31,806,227,68409.01,20,651,68.40901,9.457466820276498
423646,Pedri,Spain,ESP,MF,7.3,976,291,68013.79,21,565,68.01379,10.834055044247787
433097,Declan Rice,England,ENG,MF,5.64,709,233,66754.62,23,622,66.75461999999999,9.659028617363342
411443,Timothy Castagne,Belgium,BEL,DF,7.29,844,335,65175.17,26,546,65.17517,10.743159890109888
400721,Achraf Hakimi,Morocco,MAR,DF,5.89,624,296,63750.68,29,650,63.75068,8.827017230769231
398509,Nico Elvedi,Switzerland,SUI,DF,5.66,611,199,63204.39,30,673,63.20439,8.452295839524517
404645,Sander Berge,Norway,NOR,MF,5.69,770,192,63083.25,32,554,63.08325,10.248181407942239
430144,Pedro Porro,Spain,ESP,DF,4.44,631,283,62981.89,33,640,62.98189,8.85682828125
400716,Martin Odegaard,Norway,NOR,MF,5.86,878,302,62928.93,34,537,62.92893,10.546748044692738
405178,Manuel Akanji,Switzerland,SUI,DF,5.6,631,187,62661.14,35,673,62.661139999999996,8.379647251114413
402921,Lisandro Martinez,Argentina,ARG,DF,4.66,485,167,62187.63,36,708,62.18763,7.905207203389831
401444,Youri Tielemans,Belgium,BEL,MF,5.75,862,256,61812.67,37,538,61.81267,10.340409479553903
385306,Andres Cubas,Paraguay,PAR,MF,6.6,756,205,60748.96,38,554,60.74896,9.868964620938627
483442,Patrick Berg,Norway,NOR,MF,6.93,797,263,59224.02,39,519,59.224019999999996,10.2700612716763
402925,Nahuel Molina,Argentina,ARG,DF,5.14,608,265,57871.18,41,592,57.87118,8.797983445945945
431196,Cristian Romero,Argentina,ARG,DF,4.43,415,108,57671.78,42,685,57.67178,7.577314160583942
390259,Weston Mckennie,USA,USA,MF,6.86,771,236,57573.6,43,504,57.5736,10.280999999999999
