PlayerID,Player,Team,TeamAbbreviation,Position,Passes,PassingAccuracy,Rank
368649,Joao Cancelo,Portugal,POR,DF,184,87,166
369434,John Stones,England,ENG,DF,184,97,166
418715,Jose Cordoba,Panama,PAN,DF,183,92,168
511009,Rafik Belghali,Algeria,ALG,DF,183,92,168
477770,Pico Lopes,Cabo Verde,CPV,DF,182,84,170
430477,Ahmed Fatouh,Egypt,EGY,DF,182,90,170
441333,Gideon Mensah,Ghana,GHA,DF,182,86,170
430147,Jack Hendry,Scotland,SCO,DF,180,95,173
436612,Denzel Dumfries,Netherlands,NED,DF,179,82,174
483497,Fredrik Aursnes,Norway,NOR,MF,178,89,175
441240,Andres Andrade,Panama,PAN,DF,178,83,175
484113,Ferdi Kadioglu,Türkiye,TUR,DF,175,92,177
386538,Rodrigo Bentancur,Uruguay,URU,MF,174,90,178
483442,Patrick Berg,Norway,NOR,MF,174,93,178
376230,Sead Kolasinac,Bosnia and Herzegovina,BIH,DF,173,82,180
430440,Aiden Oneill,Australia,AUS,MF,172,83,181
419108,Sebastian Caceres,Uruguay,URU,DF,172,90,181
423595,Marko Stamenic,New Zealand,NZL,MF,171,91,183
395516,Cesar Montes,Mexico,MEX,DF,170,92,184
371958,Derek Cornelius,Canada,CAN,DF,170,89,184
436572,Arthur Masuaku,Congo DR,COD,DF,169,83,187
402772,Jesus Gallardo,Mexico,MEX,DF,167,84,188
424071,Anass Salah Eddine,Morocco,MAR,DF,166,92,189
489520,Nikola Katic,Bosnia and Herzegovina,BIH,DF,165,90,192
405263,Kevin Danso,Austria,AUT,DF,164,90,194
448346,Arthur Theate,Belgium,BEL,DF,164,93,194
448343,Hans Vanaken,Belgium,BEL,MF,164,93,194
486317,Guela Doue,Côte d'Ivoire,CIV,DF,163,88,197
448214,Malik Tillman,USA,USA,MF,163,79,197
418963,Facundo Medina,Argentina,ARG,DF,163,92,197
433667,Josip Stanisic,Croatia,CRO,DF,162,86,200
356532,Chancel Mbemba,Congo DR,COD,DF,162,80,200
431788,Pape Gueye,Senegal,SEN,MF,161,86,202
441170,Ladislav Krejci,Czechia,CZE,DF,160,84,203
400514,Ao Tanaka,Japan,JPN,MF,160,91,203
418490,Lee Kangin,Korea Republic,KOR,MF,159,88,205
477852,Kevin Pina,Cabo Verde,CPV,MF,156,86,207
403063,Axel Tuanzebe,Congo DR,COD,DF,155,90,208
486268,Emmanuel Agbadou,Côte d'Ivoire,CIV,DF,154,92,212
441088,Nicolas Seiwald,Austria,AUT,MF,153,92,213
401339,Andy Robertson,Scotland,SCO,DF,153,81,213
489521,Stjepan Radeljic,Bosnia and Herzegovina,BIH,DF,153,90,213
484022,Tarik Muharemovic,Bosnia and Herzegovina,BIH,DF,153,86,213
400634,Edson Alvarez,Mexico,MEX,DF,153,90,213
369089,Thomas Partey,Ghana,GHA,MF,152,88,218
382739,Marcos Llorente,Spain,ESP,DF,152,93,218
402817,Paik Seungho,Korea Republic,KOR,MF,152,89,218
448363,Hannes Delcroix,Haiti,HAI,DF,151,97,221
385259,Konrad Laimer,Austria,AUT,MF,150,87,222
408042,Theo Hernandez,France,FRA,DF,149,93,224
477825,Odilon Kossounou,Côte d'Ivoire,CIV,DF,149,95,224
407343,Ghislain Konan,Côte d'Ivoire,CIV,DF,149,83,224
389784,Alan Franco,Ecuador,ECU,MF,148,95,229
481183,Akam Hashim,Iraq,IRQ,DF,148,85,229
433076,Samuel Moutoussamy,Congo DR,COD,MF,147,83,231
483276,Gabriel Gudmundsson,Sweden,SWE,DF,147,76,231
463580,Finn Surman,New Zealand,NZL,DF,145,93,236
390181,Joe Bell,New Zealand,NZL,MF,143,84,237
494291,Ibrahim Maza,Algeria,ALG,MF,141,79,240
479072,Merchas Doski,Iraq,IRQ,DF,141,82,240
346743,Shoja Khalilzadeh,IR Iran,IRN,DF,141,84,240
372243,Philipp Lienhart,Austria,AUT,DF,140,91,243
448825,Pathe Ciss,Senegal,SEN,MF,139,92,244
395050,Aubrey Modiba,South Africa,RSA,DF,139,83,244
385531,Xaver Schlager,Austria,AUT,MF,138,94,247
426357,Aaron Wan Bissaka,Congo DR,COD,DF,137,80,248
275917,Ricardo Ade,Haiti,HAI,DF,136,89,249
499912,Sebastian Berhalter,USA,USA,MF,136,84,249
441623,Manuel Ugarte,Uruguay,URU,MF,136,87,249
368660,Guillermo Varela,Uruguay,URU,DF,134,89,254
441067,Stefan Posch,Austria,AUT,DF,132,74,255
511015,Nathaniel Brown,Germany,GER,DF,131,88,257
492363,Felix Nmecha,Germany,GER,MF,131,92,257
464842,Lamine Camara,Senegal,SEN,MF,131,89,257
479294,Kaishu Sano,Japan,JPN,MF,131,95,257
403596,Jorge Sanchez,Mexico,MEX,DF,131,92,257
430697,Jean Ricner Bellegarde,Haiti,HAI,MF,130,86,262
429095,Hamdy Fathy,Egypt,EGY,MF,130,92,262
405881,Maxence Lacroix,France,FRA,DF,130,96,262
390475,Sphephelo Sithole,South Africa,RSA,MF,129,84,265
479601,Juan Jose Caceres,Paraguay,PAR,DF,129,62,265
489603,Ali Nemati,IR Iran,IRN,DF,129,88,265
434026,Zidane Iqbal,Iraq,IRQ,MF,128,92,271
483312,Isak Hien,Sweden,SWE,DF,128,95,271
485066,Petar Sucic,Croatia,CRO,MF,127,87,273
403289,Takehiro Tomiyasu,Japan,JPN,DF,127,86,273
390541,Shogo Taniguchi,Japan,JPN,DF,127,96,273
358241,Marcel Sabitzer,Austria,AUT,MF,126,75,276
430176,Ryan Gravenberch,Netherlands,NED,MF,126,88,276
466340,Leandro Bacuna,Curaçao,CUW,MF,125,86,278
520037,Derrick Luckassen,Ghana,GHA,DF,125,87,278
514208,Christ Inao Oulai,Côte d'Ivoire,CIV,MF,125,92,278
433074,Amir Alammari,Iraq,IRQ,MF,125,79,278
355775,Jackson Irvine,Australia,AUS,MF,124,83,283
441179,Merih Demiral,Türkiye,TUR,DF,124,96,283
371415,Rustam Ashurmatov,Uzbekistan,UZB,DF,123,82,285
429608,Seol Youngwoo,Korea Republic,KOR,DF,123,92,285
336088,Nathan Ake,Netherlands,NED,DF,123,91,285
430667,Nico Schlotterbeck,Germany,GER,DF,123,89,285
433378,Hannibal Mejbri,Tunisia,TUN,MF,123,76,285
492716,Morgan Rogers,England,ENG,MF,121,84,294
480310,Jiovany Ramos,Panama,PAN,DF,121,89,294
402884,Federico Valverde,Uruguay,URU,MF,120,82,297
494351,Jonas Adjetey,Ghana,GHA,DF,120,88,297
485767,Redouane Halhal,Morocco,MAR,DF,119,95,299
371348,Otabek Shukurov,Uzbekistan,UZB,MF,117,88,301
385306,Andres Cubas,Paraguay,PAR,MF,117,83,301
385067,Boualem Khoukhi,Qatar,QAT,DF,117,80,301
405522,Keito Nakamura,Japan,JPN,MF,117,85,301
430671,Ismail Jakobs,Senegal,SEN,DF,117,91,301
448140,Micky Van De Ven,Netherlands,NED,DF,117,90,301
358122,Thomas Meunier,Belgium,BEL,DF,116,84,309
369749,Junior Alonso,Paraguay,PAR,DF,116,59,309
486080,Robin Hranac,Czechia,CZE,DF,116,90,309
466838,Danley Jean Jacques,Haiti,HAI,MF,116,88,309
486147,Noah Sadiki,Congo DR,COD,MF,116,89,309
486150,Jerome Opoku,Ghana,GHA,DF,115,83,315
261367,Michael Boxall,New Zealand,NZL,DF,115,90,315
407022,Karim Hafez,Egypt,EGY,DF,113,88,318
433380,Montassar Talbi,Tunisia,TUN,DF,113,95,318
463465,Joel Ordonez,Ecuador,ECU,DF,113,89,318
424422,Matias Galarza,Paraguay,PAR,MF,113,73,318
419281,Saud Abdulhamid,Saudi Arabia,KSA,DF,113,78,318
385031,Amir Murillo,Panama,PAN,DF,112,79,324
466350,Sherel Floranus,Curaçao,CUW,DF,112,85,324
431230,Noor Alrawabdeh,Jordan,JOR,MF,111,76,326
489300,Martin Experience,Haiti,HAI,DF,111,84,326
466585,Moise Bombito,Canada,CAN,DF,111,86,326
477470,Oscar Bobb,Norway,NOR,MF,111,92,326
484092,Ismail Yuksek,Türkiye,TUR,MF,111,94,326
472908,Vladimir Coufal,Czechia,CZE,DF,110,72,331
400511,Kou Itakura,Japan,JPN,DF,110,97,331
505097,Samir El Mourabet,Morocco,MAR,MF,110,91,331
411658,Ellyes Skhiri,Tunisia,TUN,MF,109,91,335
433694,Nathan Patterson,Scotland,SCO,DF,109,86,335
430631,Nico Gonzalez,Argentina,ARG,MF,109,83,335
400416,Edgar Yoel Barcenas,Panama,PAN,MF,109,88,335
477847,Steven Moreira,Cabo Verde,CPV,DF,109,81,335
441258,Ismael Kone,Canada,CAN,MF,108,86,342
403319,Nasser Aldawsari,Saudi Arabia,KSA,MF,107,86,343
423522,Jordan Bos,Australia,AUS,DF,107,88,343
489688,Yasin Ayari,Sweden,SWE,MF,107,79,343
483966,Benjamin Tahirovic,Bosnia and Herzegovina,BIH,MF,107,85,343
418729,Carlos Harvey,Panama,PAN,DF,107,79,343
494625,Marcus Holmgren Pedersen,Norway,NOR,DF,107,81,343
463809,Jarell Quansah,England,ENG,DF,106,87,350
504931,Lucas Herrington,Australia,AUS,DF,106,95,350
372266,Sofyan Amrabat,Morocco,MAR,MF,106,92,350
431225,Yazan Alarab,Jordan,JOR,DF,106,89,350
401894,Jamiro Monteiro,Cabo Verde,CPV,MF,106,82,350
430763,Luis Romo,Mexico,MEX,MF,106,88,350
477832,Sidny Lopes Cabral,Cabo Verde,CPV,DF,105,83,356
391646,Ritsu Doan,Japan,JPN,MF,105,85,356
433679,Ramiz Zerrouki,Algeria,ALG,MF,105,92,356
407993,Mohamed Kanno,Saudi Arabia,KSA,MF,104,93,361
429642,Jamal Musiala,Germany,GER,MF,104,83,361
431861,Rayan Cherki,France,FRA,MF,104,86,361
494626,Andreas Schjelderup,Norway,NOR,MF,104,86,361
482974,Ivan Basic,Bosnia and Herzegovina,BIH,MF,104,92,361
419134,Juan Manuel Sanabria,Uruguay,URU,MF,103,86,369
372436,Ivan Sunjic,Bosnia and Herzegovina,BIH,MF,102,86,372
492358,Tomas Araujo,Portugal,POR,DF,102,96,372
406280,Sergino Dest,USA,USA,DF,102,87,372
441261,Israel Reyes,Mexico,MEX,DF,102,91,372
463128,Diego Gomez,Paraguay,PAR,MF,101,79,376
430733,Mikel Merino,Spain,ESP,MF,101,88,376
477827,Deroy Duarte,Cabo Verde,CPV,MF,101,86,376
359634,Grant Hanley,Scotland,SCO,DF,101,93,376
402926,Gonzalo Montiel,Argentina,ARG,DF,100,81,381
419672,Leo Ostigard,Norway,NOR,DF,99,85,383
405454,Elijah Just,New Zealand,NZL,MF,99,86,383
482976,Amar Dedic,Bosnia and Herzegovina,BIH,DF,99,81,383
403312,Abdulelah Alamri,Saudi Arabia,KSA,DF,99,82,383
371736,Saeid Ezatolahi,IR Iran,IRN,MF,99,79,383
384797,Ramin Rezaeian,IR Iran,IRN,DF,98,69,392
464924,Abdukodir Khusanov,Uzbekistan,UZB,DF,98,83,392
425607,Mohamed Amine Ben Hmida,Tunisia,TUN,DF,98,83,392
494248,Thalente Mbatha,South Africa,RSA,MF,97,85,396
433527,Abdallah Nasib,Jordan,JOR,DF,97,72,396
431202,Omar Alderete,Paraguay,PAR,DF,97,72,396
473113,Eberechi Eze,England,ENG,MF,97,92,396
411226,Djibril Sow,Switzerland,SUI,MF,97,86,396
511141,Armando Obispo,Curaçao,CUW,DF,97,90,396
433787,Scott Mctominay,Scotland,SCO,MF,96,91,403
448598,Ismael Saibari,Morocco,MAR,MF,95,84,404
389485,Exequiel Palacios,Argentina,ARG,MF,94,95,408
419068,Giovanni Reyna,USA,USA,MF,94,84,408
482774,Martin Baturina,Croatia,CRO,MF,93,86,411
423941,Nathan Saliba,Canada,CAN,MF,93,85,411
507253,Kwasi Sibo,Ghana,GHA,MF,93,95,411
433367,Omar Rekik,Tunisia,TUN,DF,93,83,411
390196,Callum Mccowatt,New Zealand,NZL,MF,93,84,411
430854,Wilfried Singo,Côte d'Ivoire,CIV,DF,92,86,420
520039,Marvin Senaya,Ghana,GHA,DF,91,82,422
463283,Romano Schmid,Austria,AUT,MF,91,71,422
395212,Nelson Semedo,Portugal,POR,DF,91,92,422
369744,Gustavo Gomez,Paraguay,PAR,DF,91,88,422
512791,Issa Laye,Qatar,QAT,DF,90,94,427
356704,Juan Quintero,Colombia,COL,MF,89,83,431
498421,Paul Okon Engstler,Australia,AUS,MF,89,87,431
464865,El Hadji Malick Diouf,Senegal,SEN,DF,89,83,431
448180,Josko Gvardiol,Croatia,CRO,DF,89,87,431
405469,Liberato Cacace,New Zealand,NZL,DF,88,85,436
489689,Lucas Bergvall,Sweden,SWE,MF,88,91,436
448103,Fabian Rieder,Switzerland,SUI,MF,87,82,439
331463,Tim Payne,New Zealand,NZL,DF,87,83,439
500037,Gilberto Mora,Mexico,MEX,MF,87,91,439
403335,Hassan Altambakti,Saudi Arabia,KSA,DF,87,82,439
479389,Mohannad Abutaha,Jordan,JOR,MF,87,68,439
441350,Hicham Boudaoui,Algeria,ALG,MF,86,97,444
433118,Orkun Kokcu,Türkiye,TUR,MF,85,71,446
395321,Junya Ito,Japan,JPN,MF,85,76,446
430698,Houssem Aouar,Algeria,ALG,MF,84,94,448
433668,Michal Sadilek,Czechia,CZE,MF,84,82,448
339820,Kalidou Koulibaly,Senegal,SEN,DF,83,88,450
483161,Mostafa Zico,Egypt,EGY,MF,83,69,450
349342,Aziz Behich,Australia,AUS,DF,82,73,453
430120,Mert Muldur,Türkiye,TUR,DF,81,89,457
390537,Milad Mohammadi,IR Iran,IRN,DF,80,83,462
433534,Nizar Alrashdan,Jordan,JOR,MF,80,78,462
430452,Connor Metcalfe,Australia,AUS,MF,80,81,462
486875,Gustavo Velazquez,Paraguay,PAR,DF,80,71,462
419189,Yan Valery,Tunisia,TUN,DF,80,68,462
520036,Paul Wanner,Austria,AUT,MF,80,85,462
433072,Zeki Celik,Türkiye,TUR,DF,79,89,468
479106,Akmal Mozgovoy,Uzbekistan,UZB,MF,79,82,468
436537,Musab Aljuwayr,Saudi Arabia,KSA,MF,79,81,468
402934,Marcos Senesi,Argentina,ARG,DF,79,95,468
441242,Cesar Blackman,Panama,PAN,DF,79,87,468
395581,Cristian Martinez,Panama,PAN,MF,78,73,473
416051,Pedro Miguel,Qatar,QAT,DF,78,76,473
486260,Christopher Operi,Côte d'Ivoire,CIV,DF,78,90,473
419303,Moteb Alharbi,Saudi Arabia,KSA,DF,77,74,477
416576,Alvaro Fidalgo,Mexico,MEX,MF,77,94,477
433147,Michel Aebischer,Switzerland,SUI,MF,76,87,480
390209,Sarpreet Singh,New Zealand,NZL,MF,76,76,480
464055,Malo Gusto,France,FRA,DF,76,91,480
466317,Juninho Bacuna,Curaçao,CUW,MF,75,80,484
433361,Anis Slimane,Tunisia,TUN,MF,75,79,484
477802,Ousmane Diomande,Côte d'Ivoire,CIV,DF,74,97,486
433362,Ali Abdi,Tunisia,TUN,DF,74,69,486
356412,Silvan Widmer,Switzerland,SUI,DF,73,78,488
405528,Yukinari Sugawara,Japan,JPN,DF,73,71,488
389437,Ehsan Haddad,Jordan,JOR,DF,73,74,488
479042,Abdulla Abdullaev,Uzbekistan,UZB,DF,72,90,495
484270,Zaid Ismael,Iraq,IRQ,MF,71,89,498
506279,Caleb Yirenkyi,Ghana,GHA,MF,70,89,504
483549,Warren Zaire Emery,France,FRA,MF,70,94,504
431781,Jean Kevin Duverne,Haiti,HAI,DF,69,86,507
354861,Karim Boudiaf,Qatar,QAT,MF,69,94,507
448497,Mohammad Mohebbi,IR Iran,IRN,MF,69,71,507
494458,Ngalayel Mukau,Congo DR,COD,MF,69,87,507
495046,Mauricio,Paraguay,PAR,MF,69,78,507
402876,Agustin Canobbio,Uruguay,URU,MF,68,90,513
448531,Antoine Semenyo,Ghana,GHA,MF,68,76,513
482775,Tyler Bindon,New Zealand,NZL,DF,68,72,513
433439,Ali Lajami,Saudi Arabia,KSA,DF,68,82,513
482869,Jaouen Hadjam,Algeria,ALG,DF,67,84,518
441259,Liam Millar,Canada,CAN,MF,67,75,518
483526,Tijjani Reijnders,Netherlands,NED,MF,67,79,518
369761,Miguel Almiron,Paraguay,PAR,MF,67,73,518
502945,Alexander Bernhardsson,Sweden,SWE,DF,67,76,518
441167,Tomas Holes,Czechia,CZE,DF,66,83,525
506471,Deveron Fonville,Curaçao,CUW,DF,66,83,525
523097,Alexandr Sojka,Czechia,CZE,MF,65,80,531
433394,Ahmed Fathy,Qatar,QAT,MF,65,91,531
434025,Zaid Tahseen,Iraq,IRQ,DF,64,83,535
512183,Mohammed Abu Alshamat,Saudi Arabia,KSA,DF,64,80,535
411644,Saman Ghoddos,IR Iran,IRN,MF,64,70,535
463288,Phillip Mwene,Austria,AUT,DF,64,88,535
448364,Amadou Onana,Belgium,BEL,MF,64,89,535
485064,Niko Sigur,Canada,CAN,DF,64,81,535
484051,Kenny Mclean,Scotland,SCO,MF,63,89,541
401023,Joshua Brenet,Curaçao,CUW,DF,63,78,541
448149,Teun Koopmeiners,Netherlands,NED,MF,63,86,541
477855,Joao Paulo,Cabo Verde,CPV,MF,62,84,544
494989,Livano Comenencia,Curaçao,CUW,MF,62,81,544
485347,Tahith Chong,Curaçao,CUW,MF,61,84,546
389907,Salih Ozcan,Türkiye,TUR,MF,61,85,546
397775,Carlens Arcus,Haiti,HAI,DF,61,89,546
389782,Pervis Estupinan,Ecuador,ECU,DF,61,90,546
464533,Brian Gutierrez,Mexico,MEX,MF,60,88,550
385248,Florian Grillitsch,Austria,AUT,MF,60,92,550
390525,Lee Jaesung,Korea Republic,KOR,MF,59,78,554
395205,Bernardo Silva,Portugal,POR,MF,59,93,554
484065,Eren Elmali,Türkiye,TUR,DF,59,88,554
479086,Azizjon Ganiev,Uzbekistan,UZB,MF,59,81,554
441341,Elisha Owusu,Ghana,GHA,MF,58,86,560
436599,Miles Robinson,USA,USA,DF,58,93,560
411624,Abdullah Alkhaibari,Saudi Arabia,KSA,MF,58,83,560
489550,Husam Abudahab,Jordan,JOR,DF,58,74,560
419100,Maxi Araujo,Uruguay,URU,MF,57,88,566
473050,Richard Rios,Colombia,COL,MF,56,84,567
382312,Cameron Burgess,Australia,AUS,DF,56,80,567
430385,Kim Jingyu,Korea Republic,KOR,MF,56,96,567
504329,Steve Kapuadi,Congo DR,COD,DF,55,84,572
402898,Nicolas De La Cruz,Uruguay,URU,MF,55,82,572
475260,Behruzjon Karimov,Uzbekistan,UZB,DF,55,78,572
401334,John Mcginn,Scotland,SCO,MF,55,85,572
494293,Chemsdine Talbi,Morocco,MAR,MF,54,87,577
486130,Habib Diarra,Senegal,SEN,MF,54,96,577
431698,Jurien Gaari,Curaçao,CUW,DF,54,76,577
502727,Johan Manzambi,Switzerland,SUI,MF,54,80,577
423700,Joe Scally,USA,USA,DF,53,87,582
463221,Nkosinathi Sibisi,South Africa,RSA,DF,52,81,584
479316,Park Jinseob,Korea Republic,KOR,DF,52,94,584
430657,David Raum,Germany,GER,DF,52,85,584
442431,Scott Mckenna,Scotland,SCO,DF,52,94,584
494640,Amar Memic,Bosnia and Herzegovina,BIH,MF,52,75,584
419077,Mark Mckenzie,USA,USA,DF,51,92,593
395414,Giovani Lo Celso,Argentina,ARG,MF,51,92,593
502946,Benjamin Nygren,Sweden,SWE,MF,50,92,598
405527,Ayumu Seko,Japan,JPN,DF,50,84,598
390272,Auston Trusty,USA,USA,DF,50,76,598
380005,Mario Pasalic,Croatia,CRO,MF,50,90,598
519958,Elliot Stroud,Sweden,SWE,DF,49,78,603
418798,Pape Matar Sarr,Senegal,SEN,MF,48,90,605
479075,Sherzod Nasrullaev,Uzbekistan,UZB,DF,48,73,605
484011,Lukas Provod,Czechia,CZE,MF,48,77,605
401712,Kieran Tierney,Scotland,SCO,DF,48,75,605
411176,Jose Luis Rodriguez,Panama,PAN,MF,48,73,605
433585,Ibrahim Bayesh,Iraq,IRQ,MF,48,83,605
395083,Hwang Heechan,Korea Republic,KOR,MF,47,85,616
441166,Jaroslav Zeleny,Czechia,CZE,DF,47,74,616
483936,David Doudera,Czechia,CZE,DF,47,72,616
402974,Angelo Preciado,Ecuador,ECU,DF,47,68,616
430518,Nawaf Bu Washl,Saudi Arabia,KSA,DF,46,76,624
491255,Daniel Svensson,Sweden,SWE,DF,46,83,624
464906,Jakhongir Urozov,Uzbekistan,UZB,DF,45,69,627
405175,Seko Fofana,Côte d'Ivoire,CIV,MF,45,84,627
424119,Nathanael Mbuku,Congo DR,COD,MF,45,78,627
423880,Lee Taeseok,Korea Republic,KOR,DF,45,87,627
480983,Zineddine Belaid,Algeria,ALG,DF,44,98,632
404885,Tomas Soucek,Czechia,CZE,MF,44,80,632
463236,Jayden Adams,South Africa,RSA,MF,44,91,632
315614,Santiago Arias,Colombia,COL,DF,43,86,638
394456,Fabinho,Brazil,BRA,MF,43,98,638
494627,Thelo Aasgaard,Norway,NOR,MF,43,88,638
499290,Luka Vuskovic,Croatia,CRO,DF,43,88,638
371345,Odiljon Xamrobekov,Uzbekistan,UZB,MF,43,88,638
430450,Jacob Italiano,Australia,AUS,DF,43,77,638
486081,Lukas Cerv,Czechia,CZE,MF,42,86,644
442428,Aaron Hickey,Scotland,SCO,DF,42,90,644
